tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
964,5/1/2020 17:11,5/1/2020 17:27,3205,JC Medical Center,40.71653978,-74.04963791,3185,City Hall,40.7177325,-74.043845,42462,Subscriber,1983,1
710,5/1/2020 17:12,5/1/2020 17:24,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,42105,Subscriber,1990,1
670,5/1/2020 17:12,5/1/2020 17:24,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,42110,Subscriber,1992,2
2410,5/1/2020 17:14,5/1/2020 17:54,3267,Morris Canal,40.71241882,-74.03852552,3276,Marin Light Rail,40.71458404,-74.04281706,42408,Subscriber,1968,1
1305,5/1/2020 17:16,5/1/2020 17:38,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42255,Subscriber,1991,1
1251,5/1/2020 17:16,5/1/2020 17:37,3192,Liberty Light Rail,40.7112423,-74.0557013,3211,Newark Ave,40.72152515,-74.04630454,42458,Subscriber,1974,2
829,5/1/2020 17:17,5/1/2020 17:31,3193,Lincoln Park,40.7246051,-74.07840595,3209,Brunswick St,40.7241765,-74.0506564,42260,Subscriber,1992,1
395,5/1/2020 17:18,5/1/2020 17:25,3187,Warren St,40.7211236,-74.03805095,3267,Morris Canal,40.71241882,-74.03852552,42226,Subscriber,1957,1
405,5/1/2020 17:19,5/1/2020 17:26,3187,Warren St,40.7211236,-74.03805095,3267,Morris Canal,40.71241882,-74.03852552,42111,Subscriber,1956,1
273,5/1/2020 17:23,5/1/2020 17:28,3185,City Hall,40.7177325,-74.043845,3187,Warren St,40.7211236,-74.03805095,40910,Subscriber,1983,1
1065,5/1/2020 17:26,5/1/2020 17:43,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,42468,Customer,1969,0
1162,5/1/2020 17:26,5/1/2020 17:45,3185,City Hall,40.7177325,-74.043845,3269,Brunswick & 6th,40.72601173,-74.05038893,42529,Customer,1986,2
224,5/1/2020 17:27,5/1/2020 17:31,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42601,Subscriber,1994,2
605,5/1/2020 17:27,5/1/2020 17:37,3209,Brunswick St,40.7241765,-74.0506564,3202,Newport PATH,40.7272235,-74.0337589,42338,Subscriber,1995,2
849,5/1/2020 17:27,5/1/2020 17:41,3202,Newport PATH,40.7272235,-74.0337589,3214,Essex Light Rail,40.7127742,-74.0364857,42488,Subscriber,1975,1
